District,Avg_Dem_Share,Avg_Rep_Share,Partisan_Lean_Val,Partisan_Lean_Str
1,0.18114094727107088,0.8188590527289291,-0.3188590527289291,R+31.9%
2,0.26821328213987267,0.7317867178601274,-0.23178671786012733,R+23.2%
3,0.37812681858198044,0.6218731814180196,-0.12187318141801956,R+12.2%
4,0.2597460542225692,0.7402539457774309,-0.2402539457774308,R+24.0%
5,0.3888669579763516,0.6111330420236484,-0.11113304202364838,R+11.1%
6,0.2523970327792433,0.7476029672207567,-0.2476029672207567,R+24.8%
7,0.2716272518841663,0.7283727481158337,-0.2283727481158337,R+22.8%
8,0.40921288942089107,0.5907871105791089,-0.09078711057910893,R+9.1%
9,0.7459067590687932,0.2540932409312068,0.24590675906879322,D+24.6%
10,0.5297346283794208,0.47026537162057924,0.029734628379420758,D+3.0%
11,0.29937592720638667,0.7006240727936133,-0.20062407279361333,R+20.1%
12,0.4982230601576614,0.5017769398423386,-0.0017769398423386207,R+0.2%
13,0.6474332626920603,0.35256673730793975,0.14743326269206025,D+14.7%
14,0.5658491130429251,0.43415088695707493,0.06584911304292507,D+6.6%
15,0.5170638092444287,0.48293619075557126,0.01706380924442874,D+1.7%
16,0.4089882869087952,0.5910117130912048,-0.09101171309120482,R+9.1%
17,0.32577474801578293,0.6742252519842171,-0.17422525198421707,R+17.4%
18,0.2697351563447738,0.7302648436552261,-0.2302648436552262,R+23.0%
19,0.3704052956065495,0.6295947043934504,-0.1295947043934505,R+13.0%
20,0.2880478652005528,0.7119521347994472,-0.2119521347994472,R+21.2%
21,0.17816656895759148,0.8218334310424085,-0.3218334310424085,R+32.2%
22,0.22502399917206736,0.7749760008279326,-0.2749760008279326,R+27.5%
23,0.24624519107999332,0.7537548089200067,-0.2537548089200067,R+25.4%
24,0.2590780094403079,0.7409219905596921,-0.2409219905596921,R+24.1%
25,0.18971591297655685,0.8102840870234431,-0.3102840870234431,R+31.0%
26,0.26965512062153724,0.7303448793784628,-0.23034487937846276,R+23.0%
27,0.13911560539151435,0.8608843946084856,-0.36088439460848565,R+36.1%
28,0.17553487168226975,0.8244651283177302,-0.3244651283177302,R+32.4%
29,0.21624022765193934,0.7837597723480607,-0.28375977234806066,R+28.4%
